No of page table entries 1024 
------ Printing page table-------
Page num: 0, frame num: 18432, R:1, W:0, X:1, P1
Page num: 1, frame num: 18433, R:1, W:0, X:1, P1
Page num: 2, frame num: 18434, R:1, W:0, X:1, P1
Page num: 3, frame num: 18435, R:1, W:0, X:1, P1
Page num: 4, frame num: 18436, R:1, W:0, X:1, P1
Page num: 5, frame num: 18437, R:1, W:0, X:1, P1
Page num: 6, frame num: 18438, R:1, W:0, X:1, P1
Page num: 7, frame num: 18439, R:1, W:0, X:1, P1
Page num: 8, frame num: 18440, R:1, W:0, X:1, P1
Page num: 9, frame num: 18441, R:1, W:0, X:1, P1
Page num: 10, frame num: 18442, R:1, W:0, X:0, P1
Page num: 11, frame num: 18443, R:1, W:1, X:0, P1
Page num: 12, frame num: 18444, R:1, W:1, X:0, P1
Page num: 13, frame num: 0, R:0, W:0, X:0, P0
Page num: 14, frame num: 0, R:0, W:0, X:0, P0
Page num: 15, frame num: 0, R:0, W:0, X:0, P0
Page num: 16, frame num: 0, R:0, W:0, X:0, P0
Page num: 17, frame num: 0, R:0, W:0, X:0, P0
Page num: 18, frame num: 0, R:0, W:0, X:0, P0
Page num: 19, frame num: 0, R:0, W:0, X:0, P0
Page num: 20, frame num: 0, R:0, W:0, X:0, P0
Page num: 21, frame num: 0, R:0, W:0, X:0, P0
Page num: 22, frame num: 0, R:0, W:0, X:0, P0
Page num: 23, frame num: 0, R:0, W:0, X:0, P0
Page num: 24, frame num: 0, R:0, W:0, X:0, P0
Page num: 25, frame num: 0, R:0, W:0, X:0, P0
Page num: 26, frame num: 0, R:0, W:0, X:0, P0
Page num: 27, frame num: 0, R:0, W:0, X:0, P0
Page num: 28, frame num: 0, R:0, W:0, X:0, P0
Page num: 29, frame num: 0, R:0, W:0, X:0, P0
Page num: 30, frame num: 0, R:0, W:0, X:0, P0
Page num: 31, frame num: 0, R:0, W:0, X:0, P0
Page num: 32, frame num: 0, R:0, W:0, X:0, P0
Page num: 33, frame num: 0, R:0, W:0, X:0, P0
Page num: 34, frame num: 0, R:0, W:0, X:0, P0
Page num: 35, frame num: 0, R:0, W:0, X:0, P0
Page num: 36, frame num: 0, R:0, W:0, X:0, P0
Page num: 37, frame num: 0, R:0, W:0, X:0, P0
Page num: 38, frame num: 0, R:0, W:0, X:0, P0
Page num: 39, frame num: 0, R:0, W:0, X:0, P0
Page num: 40, frame num: 0, R:0, W:0, X:0, P0
Page num: 41, frame num: 0, R:0, W:0, X:0, P0
Page num: 42, frame num: 0, R:0, W:0, X:0, P0
Page num: 43, frame num: 0, R:0, W:0, X:0, P0
Page num: 44, frame num: 0, R:0, W:0, X:0, P0
Page num: 45, frame num: 0, R:0, W:0, X:0, P0
Page num: 46, frame num: 0, R:0, W:0, X:0, P0
Page num: 47, frame num: 0, R:0, W:0, X:0, P0
Page num: 48, frame num: 0, R:0, W:0, X:0, P0
Page num: 49, frame num: 0, R:0, W:0, X:0, P0
Page num: 50, frame num: 0, R:0, W:0, X:0, P0
Page num: 51, frame num: 0, R:0, W:0, X:0, P0
Page num: 52, frame num: 0, R:0, W:0, X:0, P0
Page num: 53, frame num: 0, R:0, W:0, X:0, P0
Page num: 54, frame num: 0, R:0, W:0, X:0, P0
Page num: 55, frame num: 0, R:0, W:0, X:0, P0
Page num: 56, frame num: 0, R:0, W:0, X:0, P0
Page num: 57, frame num: 0, R:0, W:0, X:0, P0
Page num: 58, frame num: 0, R:0, W:0, X:0, P0
Page num: 59, frame num: 0, R:0, W:0, X:0, P0
Page num: 60, frame num: 0, R:0, W:0, X:0, P0
Page num: 61, frame num: 0, R:0, W:0, X:0, P0
Page num: 62, frame num: 0, R:0, W:0, X:0, P0
Page num: 63, frame num: 0, R:0, W:0, X:0, P0
Page num: 64, frame num: 0, R:0, W:0, X:0, P0
Page num: 65, frame num: 0, R:0, W:0, X:0, P0
Page num: 66, frame num: 0, R:0, W:0, X:0, P0
Page num: 67, frame num: 0, R:0, W:0, X:0, P0
Page num: 68, frame num: 0, R:0, W:0, X:0, P0
Page num: 69, frame num: 0, R:0, W:0, X:0, P0
Page num: 70, frame num: 0, R:0, W:0, X:0, P0
Page num: 71, frame num: 0, R:0, W:0, X:0, P0
Page num: 72, frame num: 0, R:0, W:0, X:0, P0
Page num: 73, frame num: 0, R:0, W:0, X:0, P0
Page num: 74, frame num: 0, R:0, W:0, X:0, P0
Page num: 75, frame num: 0, R:0, W:0, X:0, P0
Page num: 76, frame num: 0, R:0, W:0, X:0, P0
Page num: 77, frame num: 0, R:0, W:0, X:0, P0
Page num: 78, frame num: 0, R:0, W:0, X:0, P0
Page num: 79, frame num: 0, R:0, W:0, X:0, P0
Page num: 80, frame num: 0, R:0, W:0, X:0, P0
Page num: 81, frame num: 0, R:0, W:0, X:0, P0
Page num: 82, frame num: 0, R:0, W:0, X:0, P0
Page num: 83, frame num: 0, R:0, W:0, X:0, P0
Page num: 84, frame num: 0, R:0, W:0, X:0, P0
Page num: 85, frame num: 0, R:0, W:0, X:0, P0
Page num: 86, frame num: 0, R:0, W:0, X:0, P0
Page num: 87, frame num: 0, R:0, W:0, X:0, P0
Page num: 88, frame num: 0, R:0, W:0, X:0, P0
Page num: 89, frame num: 0, R:0, W:0, X:0, P0
Page num: 90, frame num: 0, R:0, W:0, X:0, P0
Page num: 91, frame num: 0, R:0, W:0, X:0, P0
Page num: 92, frame num: 0, R:0, W:0, X:0, P0
Page num: 93, frame num: 0, R:0, W:0, X:0, P0
Page num: 94, frame num: 0, R:0, W:0, X:0, P0
Page num: 95, frame num: 0, R:0, W:0, X:0, P0
Page num: 96, frame num: 0, R:0, W:0, X:0, P0
Page num: 97, frame num: 0, R:0, W:0, X:0, P0
Page num: 98, frame num: 0, R:0, W:0, X:0, P0
Page num: 99, frame num: 0, R:0, W:0, X:0, P0
Page num: 100, frame num: 0, R:0, W:0, X:0, P0
Page num: 101, frame num: 0, R:0, W:0, X:0, P0
Page num: 102, frame num: 0, R:0, W:0, X:0, P0
Page num: 103, frame num: 0, R:0, W:0, X:0, P0
Page num: 104, frame num: 0, R:0, W:0, X:0, P0
Page num: 105, frame num: 0, R:0, W:0, X:0, P0
Page num: 106, frame num: 0, R:0, W:0, X:0, P0
Page num: 107, frame num: 0, R:0, W:0, X:0, P0
Page num: 108, frame num: 0, R:0, W:0, X:0, P0
Page num: 109, frame num: 0, R:0, W:0, X:0, P0
Page num: 110, frame num: 0, R:0, W:0, X:0, P0
Page num: 111, frame num: 0, R:0, W:0, X:0, P0
Page num: 112, frame num: 0, R:0, W:0, X:0, P0
Page num: 113, frame num: 0, R:0, W:0, X:0, P0
Page num: 114, frame num: 0, R:0, W:0, X:0, P0
Page num: 115, frame num: 0, R:0, W:0, X:0, P0
Page num: 116, frame num: 0, R:0, W:0, X:0, P0
Page num: 117, frame num: 0, R:0, W:0, X:0, P0
Page num: 118, frame num: 0, R:0, W:0, X:0, P0
Page num: 119, frame num: 0, R:0, W:0, X:0, P0
Page num: 120, frame num: 0, R:0, W:0, X:0, P0
Page num: 121, frame num: 0, R:0, W:0, X:0, P0
Page num: 122, frame num: 0, R:0, W:0, X:0, P0
Page num: 123, frame num: 0, R:0, W:0, X:0, P0
Page num: 124, frame num: 0, R:0, W:0, X:0, P0
Page num: 125, frame num: 0, R:0, W:0, X:0, P0
Page num: 126, frame num: 0, R:0, W:0, X:0, P0
Page num: 127, frame num: 0, R:0, W:0, X:0, P0
Page num: 128, frame num: 0, R:0, W:0, X:0, P0
Page num: 129, frame num: 0, R:0, W:0, X:0, P0
Page num: 130, frame num: 0, R:0, W:0, X:0, P0
Page num: 131, frame num: 0, R:0, W:0, X:0, P0
Page num: 132, frame num: 0, R:0, W:0, X:0, P0
Page num: 133, frame num: 0, R:0, W:0, X:0, P0
Page num: 134, frame num: 0, R:0, W:0, X:0, P0
Page num: 135, frame num: 0, R:0, W:0, X:0, P0
Page num: 136, frame num: 0, R:0, W:0, X:0, P0
Page num: 137, frame num: 0, R:0, W:0, X:0, P0
Page num: 138, frame num: 0, R:0, W:0, X:0, P0
Page num: 139, frame num: 0, R:0, W:0, X:0, P0
Page num: 140, frame num: 0, R:0, W:0, X:0, P0
Page num: 141, frame num: 0, R:0, W:0, X:0, P0
Page num: 142, frame num: 0, R:0, W:0, X:0, P0
Page num: 143, frame num: 0, R:0, W:0, X:0, P0
Page num: 144, frame num: 0, R:0, W:0, X:0, P0
